09:06:06.807 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.1.7.Final
09:06:06.813 [restartedMain] INFO  c.z.e.s.v.VrServiceApplication - [logStarting,55] - Starting VrServiceApplication using Java 1.8.0_271 on yangj with PID 19412 (D:\Java_Tools\IntelliJ IDEA_WorkPlace\edu-vr\edu-vr-service\target\classes started by ZJ in D:\Java_Tools\IntelliJ IDEA_WorkPlace\edu-vr)
09:06:06.814 [restartedMain] INFO  c.z.e.s.v.VrServiceApplication - [logStartupProfileInfo,668] - The following profiles are active: dev
09:06:06.847 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - [logTo,255] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
09:06:06.848 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - [logTo,255] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
09:06:07.798 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [multipleStoresDetected,250] - Multiple Spring Data modules found, entering strict repository configuration mode!
09:06:07.799 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,128] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
09:06:07.814 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,188] - Finished Spring Data repository scanning in 4 ms. Found 0 Redis repository interfaces.
09:06:07.971 [restartedMain] INFO  o.s.c.c.s.GenericScope - [setSerializationId,283] - BeanFactory id=1f685f64-e102-3b0a-adf1-fb9d00641c0a
09:06:08.394 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - [initialize,108] - Tomcat initialized with port(s): 2090 (http)
09:06:08.402 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-2090"]
09:06:08.402 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
09:06:08.402 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.46]
09:06:08.476 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
09:06:08.476 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - [prepareWebApplicationContext,289] - Root WebApplicationContext: initialization completed in 1628 ms
09:06:08.676 [restartedMain] INFO  org.redisson.Version - [logVersion,41] - Redisson 3.15.2
09:06:09.032 [redisson-netty-2-17] INFO  o.r.c.p.MasterPubSubConnectionPool - [lambda$run$0,165] - 1 connections initialized for localhost/127.0.0.1:6379
09:06:09.039 [redisson-netty-2-20] INFO  o.r.c.p.MasterConnectionPool - [lambda$run$0,165] - 24 connections initialized for localhost/127.0.0.1:6379
09:06:09.645 [restartedMain] INFO  o.s.b.a.e.w.EndpointLinksResolver - [<init>,58] - Exposing 2 endpoint(s) beneath base path '/actuator'
09:06:09.778 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - [startServer,58] - LiveReload server is running on port 35729
09:06:10.214 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-2090"]
09:06:10.221 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - [start,220] - Tomcat started on port(s): 2090 (http) with context path ''
09:06:10.265 [restartedMain] INFO  c.a.c.n.r.NacosServiceRegistry - [register,75] - nacos registry, edu edu-vr-service 10.0.97.173:2090 register finished
09:06:10.595 [restartedMain] INFO  c.z.e.s.v.VrServiceApplication - [logStarted,61] - Started VrServiceApplication in 4.193 seconds (JVM running for 4.822)
09:06:10.600 [restartedMain] INFO  c.z.e.s.v.VrServiceApplication - [main,24] - ---------------------------职教云VR模块启动成功---------------------------
09:06:10.918 [RMI TCP Connection(1)-10.0.97.173] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
09:06:10.918 [RMI TCP Connection(1)-10.0.97.173] INFO  o.s.w.s.DispatcherServlet - [initServletBean,525] - Initializing Servlet 'dispatcherServlet'
09:06:10.920 [RMI TCP Connection(1)-10.0.97.173] INFO  o.s.w.s.DispatcherServlet - [initServletBean,547] - Completed initialization in 2 ms
09:10:19.415 [SpringContextShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,90] - De-registering from Nacos Server now...
09:10:19.418 [SpringContextShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,110] - De-registration finished.
14:17:47.779 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.1.7.Final
14:17:47.782 [restartedMain] INFO  c.z.e.VrServiceApplication - [logStarting,55] - Starting VrServiceApplication using Java 1.8.0_271 on yangj with PID 13740 (D:\Java_Tools\IntelliJ IDEA_WorkPlace\edu-vr\edu-vr-admin\target\classes started by ZJ in D:\Java_Tools\IntelliJ IDEA_WorkPlace\edu-vr)
14:17:47.783 [restartedMain] INFO  c.z.e.VrServiceApplication - [logStartupProfileInfo,668] - The following profiles are active: dev
14:17:47.834 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - [logTo,255] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
14:17:47.835 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - [logTo,255] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
